ID,RaceID,ClassID,SexID,OutfitID,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16],ItemID[17],ItemID[18],ItemID[19],ItemID[20],ItemID[21],ItemID[22],ItemID[23],DisplayItemID[0],DisplayItemID[1],DisplayItemID[2],DisplayItemID[3],DisplayItemID[4],DisplayItemID[5],DisplayItemID[6],DisplayItemID[7],DisplayItemID[8],DisplayItemID[9],DisplayItemID[10],DisplayItemID[11],DisplayItemID[12],DisplayItemID[13],DisplayItemID[14],DisplayItemID[15],DisplayItemID[16],DisplayItemID[17],DisplayItemID[18],DisplayItemID[19],DisplayItemID[20],DisplayItemID[21],DisplayItemID[22],DisplayItemID[23],InventoryType[0],InventoryType[1],InventoryType[2],InventoryType[3],InventoryType[4],InventoryType[5],InventoryType[6],InventoryType[7],InventoryType[8],InventoryType[9],InventoryType[10],InventoryType[11],InventoryType[12],InventoryType[13],InventoryType[14],InventoryType[15],InventoryType[16],InventoryType[17],InventoryType[18],InventoryType[19],InventoryType[20],InventoryType[21],InventoryType[22],InventoryType[23],PetDisplayID,PetFamilyID
1,1,1,0,0,58231,39,40,0,49778,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33310,9892,10141,-1,2380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,7,8,-1,17,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
14,1,1,1,0,58231,39,40,0,49778,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33310,9892,10141,-1,2380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,7,8,-1,17,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
79,1,2,0,0,58233,43,44,6948,52557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3265,9938,9937,-1,8687,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,8,7,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
36,1,2,1,0,58233,43,44,6948,52557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3265,9938,9937,-1,8687,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,8,7,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
400,1,3,0,0,58232,147,129,0,23347,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9976,9975,9977,-1,10671,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,7,8,-1,26,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,903,1
401,1,3,1,0,58232,147,129,0,23347,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9976,9975,9977,-1,10671,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,7,8,-1,26,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,903,1
9,1,4,0,0,58234,47,48,0,25,0,50055,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9906,9915,9913,-1,1542,-1,2704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,8,7,-1,21,-1,22,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
37,1,4,1,0,58234,47,48,0,25,0,50055,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9906,9915,9913,-1,1542,-1,2704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,8,7,-1,21,-1,22,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
11,1,5,0,0,6098,52,0,51,35,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12679,9945,-1,9946,472,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,7,-1,8,17,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
38,1,5,1,0,6098,52,0,51,35,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12679,9945,-1,9946,472,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,7,-1,8,17,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
