ID,DisplayType,ItemDisplayInfoID,DefaultIconFileDataID,UiOrder
153,2,5661,132759,15300
154,11,1542,135274,15400
155,11,472,135145,15500
156,11,5194,133478,15600
157,11,8483,132402,15700
158,2,5729,135009,15800
159,5,6050,134582,15900
160,6,6051,132540,16000
161,6,6060,132535,16100
162,5,1882,134582,16200
163,2,3265,135005,16300
164,6,9767,132539,16400
165,5,5341,134582,16500
166,2,9906,135009,16600
167,6,7081,132538,16700
168,5,5848,134582,16800
169,2,8370,135005,16900
170,6,6077,132543,17000
171,3,12647,132664,17100
172,3,12645,132665,17200
173,6,3261,132535,17300
174,3,15441,132724,17400
175,5,65304,443401,17500
176,5,73553,443400,17600
177,6,7180,132543,17700
178,3,10888,135011,17800
179,5,10006,134582,17900
180,6,10008,132539,18000
181,2,9031,135011,18100
182,6,5633,132540,18200
183,5,8003,134582,18300
184,6,11109,132538,18400
185,13,138272,134951,18500
186,5,5632,134582,18600
187,2,5447,135005,18700
188,5,8740,134582,18800
189,2,8738,133766,18900
190,11,5279,133476,19000
191,3,7777,135022,19100
192,5,9970,134592,19200
193,6,10052,132539,19300
194,3,2499,135006,19400
195,5,2308,134592,19500
196,6,10287,132539,19600
197,8,3218,132955,19700
198,5,7947,134706,19800
199,6,10872,132540,19900
200,3,10150,132725,20000
201,5,4265,134586,20100
202,6,14283,132537,20200
203,8,9785,132955,20300
204,3,6558,132631,20400
205,5,3409,134583,20500
206,6,4734,132535,20600
207,11,20190,135317,20700
208,7,8147,132610,20800
209,8,10890,132961,20900
210,8,12774,132952,21000
211,8,2951,132938,21100
212,8,66873,445518,21200
213,8,2368,132939,21300
214,11,26577,135274,21400
215,3,164727,132483,21500
216,11,20094,135346,21600
217,11,20218,135312,21700
218,11,1379,134708,21800
219,7,17007,132607,21900
220,11,19621,133482,22000
221,11,20443,135145,22100
222,11,1383,132392,22200
223,11,2743,135638,22300
224,11,1682,134708,22400
225,11,19644,133046,22500
226,11,4801,135323,22600
227,11,19699,133045,22700
228,11,19401,132405,22800
229,11,20334,135139,22900
230,6,10295,132579,23000
231,8,2186,132952,23100
232,5,2185,134591,23200
233,3,3900,135014,23300
234,6,2094,132543,23400
235,8,2359,132952,23500
236,5,2176,134589,23600
237,3,2106,132760,23700
238,11,20033,135329,23800
239,11,19726,133048,23900
240,11,19137,132398,24000
241,11,15990,135166,24100
242,11,2710,135637,24200
243,11,6470,135637,24300
244,3,17102,135011,24400
245,11,19271,132392,24500
246,11,2038,133476,24600
247,4,3394,132492,24700
248,3,5730,135010,24800
249,5,5731,134594,24900
250,8,14467,132952,25000
251,6,10908,132539,25100
252,6,3713,132592,25200
253,8,2101,132939,25300
254,5,5441,134706,25400
255,3,14271,132760,25500
256,3,1019,132624,25600
257,5,697,134583,25700
258,6,1020,132535,25800
259,8,510,132938,25900
260,11,2780,135346,26000
261,11,5208,133490,26100
262,11,22102,132402,26200
263,11,2943,135154,26300
264,2,9880,135006,26400
265,6,3443,132539,26500
266,11,19213,132399,26600
267,11,26579,135328,26700
268,11,5212,133478,26800
269,11,20357,135145,26900
270,8,3993,132940,27000
271,11,19713,133488,27100
272,11,5163,135326,27200
273,11,33458,132393,27300
274,11,19235,132408,27400
275,11,19242,135419,27500
276,11,20298,135150,27600
277,13,1680,134955,27700
278,11,20382,135162,27800
279,11,8494,132405,27900
280,11,20093,135327,28000
281,8,3524,132947,28100
282,11,20386,135141,28200
283,8,7816,132938,28300
284,7,6165,132604,28400
285,11,6456,134298,28500
286,1,1058,135039,28600
287,1,2953,135033,28700
288,1,1060,135033,28800
289,1,1068,135033,28900
290,11,28628,133476,29000
291,11,20170,135311,29100
292,3,1727,132624,29200
293,11,19703,133486,29300
294,11,22097,135280,29400
295,11,20110,135324,29500
296,11,22131,133044,29600
297,11,2861,133476,29700
298,11,22108,135423,29800
299,11,22151,135157,29900
300,11,19405,132405,30000
301,11,8272,135327,30100
302,11,5215,133729,30200
303,11,20329,135150,30300
304,3,16676,132667,30400
305,11,20256,135166,30500
306,11,20253,135144,30600
307,11,859,135274,30700
308,4,66341,236921,30800
309,11,1550,135274,30900
310,11,8583,133045,31000
311,11,18630,135154,31100
312,11,68756,132395,31200
313,11,1121,135274,31300
314,11,7453,133942,31400
315,6,703,132592,31500
316,11,7469,133729,31600
317,11,20327,135143,31700
318,11,19643,133476,31800
319,11,1716,135145,31900
320,11,679,135274,32000
321,0,1166,134955,32100
322,0,1170,134442,32200
323,13,30993,134947,32300
324,13,2456,136162,32400
325,3,67341,349115,32500
326,11,6520,135432,32600
327,6,67048,350647,32700
328,7,68840,367072,32800
329,7,66890,366058,32900
330,9,15120,133760,33000
331,11,22093,135276,33100
332,11,7495,134435,33200
333,11,22114,132395,33300
334,11,5226,133477,33400
335,11,20112,135350,33500
336,13,18663,134955,33600
337,13,1705,134950,33700
338,13,2329,134949,33800
339,13,2594,134952,33900
340,13,1644,134952,34000
341,11,5199,133490,34100
342,3,9536,132719,34200
343,7,1028,132603,34300
344,11,19625,133046,34400
345,4,10988,132498,34500
346,7,6193,132606,34600
347,11,5527,133489,34700
348,11,20122,135314,34800
349,11,3367,132405,34900
350,11,30392,132392,35000
351,11,22215,135580,35100
352,11,5530,133482,35200
353,11,20156,135302,35300
354,9,27752,133767,35400
355,3,12723,132742,35500
356,13,2210,134955,35600
357,0,178254,133132,35700
358,0,178262,133070,35800
359,11,6447,134298,35900
360,11,2767,132417,36000
361,11,4770,133481,36100
362,3,19035,132658,36200
363,4,15767,132518,36300
364,11,20391,135469,36400
365,8,1796,132951,36500
366,8,5444,132939,36600
367,7,11387,132603,36700
368,5,15673,134582,36800
369,8,17057,132947,36900
370,11,20377,135153,37000
371,11,19290,135424,37100
372,7,12741,132615,37200
373,9,28613,134354,37300
374,8,4583,132939,37400
375,8,68843,367074,37500
376,3,4589,135009,37600
377,5,8409,134586,37700
378,6,4463,132540,37800
379,8,9374,132952,37900
